,date,nodes,edges
0,2025-01-01,400504,1420
1,2025-01-02,400496,1388
2,2025-01-03,400488,1356
3,2025-01-04,400456,1228
4,2025-01-05,400493,1376
5,2025-01-06,400530,1524
6,2025-01-07,400477,1312
7,2025-01-08,400480,1324
8,2025-01-09,400474,1300
9,2025-01-10,400491,1368
10,2025-01-11,400507,1432
11,2025-01-12,400475,1304
12,2025-01-13,400477,1312
13,2025-01-14,400477,1312
14,2025-01-15,400472,1292
15,2025-01-16,400474,1300
16,2025-01-17,400484,1340
17,2025-01-18,400434,1140
18,2025-01-19,400466,1268
19,2025-01-20,400483,1336
20,2025-01-21,400472,1292
21,2025-01-22,400498,1396
22,2025-01-23,400506,1428
23,2025-01-24,400480,1324
24,2025-01-25,400471,1288
25,2025-01-26,400520,1484
26,2025-01-27,400480,1324
27,2025-01-28,400478,1316
28,2025-01-29,400514,1460
29,2025-01-30,400501,1408
30,2025-01-31,400149,0
