,date,nodes,edges
0,2025-01-01,406450,25204
1,2025-01-02,406580,25724
2,2025-01-03,406561,25648
3,2025-01-04,406512,25452
4,2025-01-05,406435,25144
5,2025-01-06,406397,24992
6,2025-01-07,406461,25248
7,2025-01-08,406345,24784
8,2025-01-09,406539,25560
9,2025-01-10,406344,24780
10,2025-01-11,406542,25572
11,2025-01-12,406513,25456
12,2025-01-13,406424,25100
13,2025-01-14,406484,25340
14,2025-01-15,406345,24784
15,2025-01-16,406361,24848
16,2025-01-17,406423,25096
17,2025-01-18,406609,25840
18,2025-01-19,406573,25696
19,2025-01-20,406617,25872
20,2025-01-21,406356,24828
21,2025-01-22,406584,25740
22,2025-01-23,406518,25476
23,2025-01-24,406412,25052
24,2025-01-25,406545,25584
25,2025-01-26,406428,25116
26,2025-01-27,406341,24768
27,2025-01-28,406422,25092
28,2025-01-29,406638,25956
29,2025-01-30,406622,25892
30,2025-01-31,400150,4
